id;checking_peer;checked_peer;points_amount
1880;ggluhpbhpr;gxpanocqgo;3
1881;aptfpcygej;gxpanocqgo;1
1882;muohfujceb;gxpanocqgo;1
1883;oyfqhhxxsf;aijtqjpxag;1
1884;ggluhpbhpr;aijtqjpxag;1
1885;vdwdvrgmip;aijtqjpxag;1
1886;nboidtyxvs;aijtqjpxag;4
1887;ykwxxvtihv;aijtqjpxag;1
1888;fxnvadlwda;aijtqjpxag;1
1889;whmpulhuun;aijtqjpxag;1
1890;lqnisjfzik;epmbbexyme;1
1891;pzdwajwylg;epmbbexyme;2
1892;wbqvxgrxkl;epmbbexyme;1
1893;pzdwajwylg;rpwqhaxkeu;10
1894;cmyuxpokbr;rpwqhaxkeu;1
1895;mdwmcbvqxw;rpwqhaxkeu;1
1896;egonxyyxnk;rpwqhaxkeu;1
1897;ucfxjbpkul;rpwqhaxkeu;1
1898;pzdwajwylg;uwifzodkdv;3
1899;zwgpltsslm;uwifzodkdv;1
1900;slvwzwzkzw;uwifzodkdv;1
1901;fsbjdulqpa;xttgbdoflb;1
1902;pzdwajwylg;xttgbdoflb;4
1903;urmxzeukvc;xttgbdoflb;1
1904;aymyaqeqry;xttgbdoflb;1
1905;axuipvlhpm;wimumjwcou;1
1906;pzdwajwylg;wimumjwcou;1
1907;hxnxprwlgf;wimumjwcou;1
1908;fanpbzzfrq;rpwqhaxkeu;1
1909;rgdanmvzvv;rpwqhaxkeu;1
1910;vuwbdgaalc;rullsghbuw;1
1911;pzdwajwylg;rullsghbuw;1
1912;fmmutdomgt;rullsghbuw;1
1913;pzdwajwylg;wppqkwosgt;5
1914;yhblrmdoel;wppqkwosgt;1
1915;pwatsofxez;wppqkwosgt;1
1916;ghoonmtook;wppqkwosgt;1
1917;miakvxyqke;wppqkwosgt;1
1918;pzdwajwylg;ehmhsxblhu;2
1919;lurconpbku;ehmhsxblhu;1
1920;sqavdkfipi;ehmhsxblhu;1
1921;ruxzrsehoo;rpwqhaxkeu;1
1922;dluxbasmuf;rpwqhaxkeu;1
1923;wnrlrdrxhd;kzjxwkvowx;1
1924;tjoolamkct;kzjxwkvowx;1
1925;cnihmhbyhg;zjlaiqdebv;1
1926;tjoolamkct;zjlaiqdebv;2
1927;dwzrlhlroh;zjlaiqdebv;1
1928;dypxiwzwed;zjlaiqdebv;1
1929;tjoolamkct;rjajytbawr;3
1930;bxjlnmfaza;rjajytbawr;1
1931;vgerrkwzvi;rjajytbawr;1
1932;tjoolamkct;rpwqhaxkeu;5
1933;niltdleaqw;rpwqhaxkeu;1
1934;teoofqkeoe;rpwqhaxkeu;1
1935;jhihqelaop;rpwqhaxkeu;1
1936;tjoolamkct;bbctqjttnr;2
1937;nsugenfrua;bbctqjttnr;1
1938;hmicbeohor;ruavlpzwkq;1
1939;tjoolamkct;ruavlpzwkq;4
1940;fvlqcywwch;ruavlpzwkq;1
1941;eugthawwtg;ruavlpzwkq;1
1942;hlyvjtwhvn;ruavlpzwkq;1
1943;qvrtieyeyd;nfaqezfvyh;1
1944;tjoolamkct;nfaqezfvyh;3
1945;uljnmajsyw;nfaqezfvyh;1
1946;lgasxwplqk;nfaqezfvyh;1
1947;nqljuetnzh;rpwqhaxkeu;1
1948;kqyxbzmhyk;cncvrueklz;1
1949;tjoolamkct;cncvrueklz;4
1950;eyyaxguwmz;cncvrueklz;1
1951;uvddvniwqf;cncvrueklz;1
1952;fuwqcirsal;cncvrueklz;1
1953;nyrvaisqtr;ptcxezmdze;1
1954;tjoolamkct;ptcxezmdze;3
1955;lluxciuplf;ptcxezmdze;1
1956;xfoxwohjbb;ptcxezmdze;1
1957;pwipmunocp;owxzztcofp;1
1958;kkizllpykx;owxzztcofp;1
1959;kkizllpykx;rpwqhaxkeu;2
1960;wtwzgbkxyc;rpwqhaxkeu;1
1961;dcgkyzlmdv;rpwqhaxkeu;1
1962;kkizllpykx;cxobpqmpqj;4
1963;pcfnrjvgda;cxobpqmpqj;1
1964;sfbyxquoht;cxobpqmpqj;1
1965;lwifoefoev;cxobpqmpqj;1
1966;bpssuckdmi;ijckrvkufr;1
1967;xwpxmjzxli;ijckrvkufr;3
1968;cncmspykdv;ijckrvkufr;1
1969;crqcnzxlcy;ijckrvkufr;1
1970;yonbpdwtmm;cpgaxieulx;1
1971;xwpxmjzxli;cpgaxieulx;1
1972;gemohizgqq;cpgaxieulx;1
1973;zzlkfwnlqp;cpgaxieulx;1
1974;rzacolfrcl;cpgaxieulx;3
1975;bljqpyzvfm;cpgaxieulx;1
1976;asbfsdtkch;cpgaxieulx;1
1977;vrdcuppnyp;rpwqhaxkeu;1
1978;rzacolfrcl;rpwqhaxkeu;4
1979;hqghcpokug;rpwqhaxkeu;1
1980;kosxcnsuue;rpwqhaxkeu;1
1981;pjgmavyzqv;rpwqhaxkeu;1
1982;jehaihiiay;hpnplzrnhf;1
1983;rzacolfrcl;hpnplzrnhf;3
1984;zmzwstkwrf;hpnplzrnhf;1
1985;nodpvddcfv;hpnplzrnhf;1
1986;dmetaxoaqq;ngpjkvjbzc;1
1987;rzacolfrcl;ngpjkvjbzc;4
1988;cnbmprstcn;ngpjkvjbzc;1
1989;kdwbrijbyh;ngpjkvjbzc;1
1990;baqptuoewp;ngpjkvjbzc;1
1991;rzacolfrcl;dwbvhyiwsg;2
1992;ufbxwxtzyv;dwbvhyiwsg;1
1993;mmixewxxqv;cvxcngcxhi;1
1994;gpitnxtsyp;cvxcngcxhi;2
1995;vpiymxzome;cvxcngcxhi;1
1996;uxniitbzeg;wrevugxelb;1
1997;gpitnxtsyp;wrevugxelb;3
1998;wkliurjaup;wrevugxelb;1
1999;pbhalsracu;wrevugxelb;1
2000;ebryleivvg;wrevugxelb;1
2001;rrfnrehgga;acrjfgkyfj;2
2002;iindwptwjh;acrjfgkyfj;1
2003;yhtltbuiso;acrjfgkyfj;1
2004;mmecguucua;acrjfgkyfj;1
2005;yhtltbuiso;qpzdgofpfh;5
2006;dheelrwmir;qpzdgofpfh;1
2007;vnnjkbbdfq;qpzdgofpfh;1
2008;oplbfzefpd;qpzdgofpfh;1
2009;crsehkiprd;qpzdgofpfh;1
2010;qjkueihsaj;qpzdgofpfh;1
2011;yhtltbuiso;iamoxnqjmt;5
2012;oetnpaeczm;iamoxnqjmt;1
2013;xjdquipfmy;iamoxnqjmt;1
2014;tlieeggzmj;iamoxnqjmt;1
2015;xrvsksneyz;gdeuteytis;1
2016;oclhfcurmu;gdeuteytis;4
2017;vgfzxgccne;gdeuteytis;1
2018;uxcnuwvgoa;gdeuteytis;1
2019;sbhvuovxsr;gdeuteytis;1
2020;qkeiqsfrox;gdeuteytis;1
2021;oclhfcurmu;xwgfzzjmoe;1
2022;dnxbdnyuzb;xwgfzzjmoe;1
2023;bumpqoyjdy;xwgfzzjmoe;2
2024;oaedxbkrmq;xwgfzzjmoe;1
2025;cldhggvlmd;xwgfzzjmoe;1
2026;vmlrhorvlf;xwgfzzjmoe;1
2027;jaqepjvjgz;xwgfzzjmoe;1
2028;vmlrhorvlf;ysiaqculhi;2
2029;svwjhrxkzj;ysiaqculhi;1
2030;vmlrhorvlf;iamoxnqjmt;3
2031;ebtkzkjldx;iamoxnqjmt;1
2032;kjlbzltigr;iamoxnqjmt;1
2033;yzvkhxhkkw;iamoxnqjmt;1
2034;vmlrhorvlf;mqnmhoqhzd;5
2035;jmitdyjmbf;mqnmhoqhzd;1
2036;hcxdhktwgc;mqnmhoqhzd;1
2037;mfdaowarmd;mqnmhoqhzd;1
2038;lxusqiqezm;mqnmhoqhzd;1
2039;xncvbtkjla;mqnmhoqhzd;1
2040;vmlrhorvlf;lyzueawwle;3
2041;bpkajmeycu;lyzueawwle;1
2042;ndkrdqlmuj;lyzueawwle;1
2043;vmlrhorvlf;ezibizbpbt;1
2044;kcvkozanhn;ezibizbpbt;1
2045;obvbplsymj;ezibizbpbt;1
2046;iefwzflvxn;ezibizbpbt;1
2047;obvbplsymj;iamoxnqjmt;4
2048;shbrtotxoa;iamoxnqjmt;1
2049;vaoqbhonkz;iamoxnqjmt;1
2050;cjlmnzxgdv;iamoxnqjmt;1
2051;ivgsoijctt;gqfnqxcxrl;1
2052;kpcdvosueg;gqfnqxcxrl;2
2053;rzpebfgqzc;gqfnqxcxrl;1
2054;ndnjwodreb;gqfnqxcxrl;1
2055;bzqluqtteb;jfpqphmvip;1
2056;txagherjvk;jfpqphmvip;1
2057;ncfjerorzy;jfpqphmvip;1
2058;pbsedhqygf;wljzofgmxd;1
2059;ncfjerorzy;wljzofgmxd;1
2060;ncfjerorzy;iamoxnqjmt;3
2061;daqvwjizfr;iamoxnqjmt;1
2062;hjjvyqeuil;iamoxnqjmt;1
2063;hthrwvqncm;gaazhbtqne;1
2064;ncfjerorzy;gaazhbtqne;5
2065;bskpybilur;gaazhbtqne;1
2066;upfjekxeru;gaazhbtqne;1
2067;jftagcyxmv;gaazhbtqne;1
2068;vggvaxiklk;gaazhbtqne;1
2069;qvpoqhsryk;sohiypdjgc;1
2070;jnbqerfjxs;sohiypdjgc;1
2071;cdveseycaa;hcmegcjutk;1
2072;jnbqerfjxs;hcmegcjutk;1
2073;hzugrcuzgw;hcmegcjutk;1
2074;ugdimizkop;hcmegcjutk;1
2075;ugdimizkop;icftmyxypf;3
2076;fjqhjwerhj;icftmyxypf;1
2077;dxmbyktlxy;icftmyxypf;1
2078;gunaruyebj;fmzoklmxtw;1
2079;ugdimizkop;fmzoklmxtw;1
2080;iqofizpuyd;fmzoklmxtw;1
2081;siyachungm;fmzoklmxtw;3
2082;clyyyskhcm;fmzoklmxtw;1
2083;ibknxdolgo;fmzoklmxtw;1
2084;oxfphseisk;fmzoklmxtw;1
2085;siyachungm;xjtndtluec;1
2086;exzahlpaar;xjtndtluec;1
2087;siyachungm;ydrhooqwxq;2
2088;ugmvzvboiv;ydrhooqwxq;1
2089;kgaxcdgwgb;ydrhooqwxq;1
2090;siyachungm;icftmyxypf;2
2091;qepvkvanhw;icftmyxypf;1
2092;doooeqpoax;icftmyxypf;1
2093;fljicxbpoq;bqoyjmkvyz;1
2094;doooeqpoax;bqoyjmkvyz;2
2095;tbuanecokk;bqoyjmkvyz;1
2096;ogiyyvqiyw;ocfgzuelyy;1
2097;doooeqpoax;ocfgzuelyy;1
2098;wfkdmkuapg;ocfgzuelyy;1
2099;ketoqkpjpa;ocfgzuelyy;3
2100;hxwsprsbsj;ocfgzuelyy;1
2101;ubjtzbscdr;ocfgzuelyy;1
2102;jsdhgrhauq;ocfgzuelyy;1
2103;ketoqkpjpa;uzfrtvkefs;3
2104;zqynmdgqqc;uzfrtvkefs;1
2105;xpbzityixf;uzfrtvkefs;1
2106;ketoqkpjpa;icftmyxypf;2
2107;swplrrppxs;icftmyxypf;1
2108;lczzetugcu;icftmyxypf;1
2109;jtvpvdsspl;icftmyxypf;2
2110;zrfmhpbeky;icftmyxypf;1
2111;wdlqtkfege;icftmyxypf;1
2112;xvrppxyyfl;icftmyxypf;1
2113;tldjrlgbgz;riggpqamvl;1
2114;xvrppxyyfl;riggpqamvl;2
2115;zfljsccdhj;riggpqamvl;1
2116;mddflhdwhi;riggpqamvl;1
2117;rvqygdobfv;riggpqamvl;2
2118;nhdfgmdzho;riggpqamvl;1
2119;faegxspdex;riggpqamvl;1
2120;rvqygdobfv;yzueyhvdis;1
2121;xgpdbvtixv;yzueyhvdis;1
2122;rvqygdobfv;fzjfqfbsqp;3
2123;sheguirvqd;fzjfqfbsqp;1
2124;xsuolfnjqi;bbfmrykqxk;1
2125;rvqygdobfv;bbfmrykqxk;3
2126;wvnpwardka;bbfmrykqxk;1
2127;zvclmafaog;bbfmrykqxk;1
2128;eysejxrwlm;jgzinvebzl;1
2129;rvqygdobfv;jgzinvebzl;2
2130;doqspqiebp;jgzinvebzl;1
2131;ciqpzkgirn;jgzinvebzl;1
2132;pobqbfahqw;jgzinvebzl;1
2133;qevprmikkt;rzvwwupzdp;1
2134;pobqbfahqw;rzvwwupzdp;3
2135;orrqypistk;rzvwwupzdp;1
2136;tldphepoig;rzvwwupzdp;1
2137;pobqbfahqw;zpdwvvxvwa;3
2138;dgiwmcwxlf;zpdwvvxvwa;1
2139;fjggsrdesq;zpdwvvxvwa;1
2140;eidmyooaep;zpdwvvxvwa;1
2141;rftqlkvrat;zpdwvvxvwa;1
2142;ehdeoyqstb;zpdwvvxvwa;1
2143;rftqlkvrat;bbfmrykqxk;3
2144;eyacymibqr;bbfmrykqxk;1
2145;ugiknnpbcv;bbfmrykqxk;1
2146;pwjdzcytzi;bbfmrykqxk;1
2147;rjgjwdsijv;iguvbzbilg;3
2148;minroijuic;iguvbzbilg;1
2149;vszlhcrnfa;iguvbzbilg;1
2150;ymumyorqpg;urxybfdkyf;1
2151;xvlbkayoge;urxybfdkyf;1
2152;zkklqmmtnt;oixivyrodp;4
2153;daympfwhxu;oixivyrodp;1
2154;ufinfedtsa;oixivyrodp;1
2155;bfdcegteqg;oixivyrodp;1
2156;mgrcgxrajp;oixivyrodp;1
2157;zkklqmmtnt;bbfmrykqxk;2
2158;fncreawtje;bbfmrykqxk;1
2159;ivxgortuwt;bbfmrykqxk;1
2160;zkklqmmtnt;wbjbgzqmak;3
2161;infxfhaten;wbjbgzqmak;1
2162;izievwhgym;wbjbgzqmak;1
2163;zloffhwyqj;wbjbgzqmak;1
2164;zkklqmmtnt;prixpltyas;2
2165;nfhxzvpzcd;prixpltyas;1
2166;zkklqmmtnt;unahljkmmw;3
2167;rumkofjrid;unahljkmmw;1
2168;crorinwpif;unahljkmmw;1
2169;ezatreprxh;unahljkmmw;1
2170;ocvfxjnmte;bbfmrykqxk;2
2171;actoccawsx;bbfmrykqxk;1
2172;zzipcrdhbo;yukjyvazfi;1
2173;ocvfxjnmte;yukjyvazfi;4
2174;otmncryqgq;yukjyvazfi;1
2175;cuywledept;yukjyvazfi;1
2176;jahfmihmhr;yukjyvazfi;1
2177;vdxzuwwwbb;rmoueftgyu;1
2178;ocvfxjnmte;rmoueftgyu;4
2179;ipcwjssvic;rmoueftgyu;1
2180;diixdolnmc;rmoueftgyu;1
2181;kntkguwdxu;bqpevafwpz;1
2182;ocvfxjnmte;bqpevafwpz;1
2183;whbopkzdcq;bqpevafwpz;1
2184;wuvqvjyito;bqpevafwpz;1
2185;pmnktodidv;bqpevafwpz;1
2186;vsihaqcomt;bqpevafwpz;2
2187;hkthpimenf;bqpevafwpz;1
2188;qjlwhinucg;bqpevafwpz;1
2189;vsihaqcomt;bbfmrykqxk;2
2190;noegoyboeh;bbfmrykqxk;1
2191;qkothwjpor;bbfmrykqxk;1
2192;uslkuvjaeo;bbfmrykqxk;3
2193;uuepumttfg;bbfmrykqxk;1
2194;nxochvdlqp;bbfmrykqxk;1
2195;uslkuvjaeo;virrcpzmgk;2
2196;lijzgjsleh;virrcpzmgk;1
2197;aqggejhrip;virrcpzmgk;1
2198;qmqogvrqqn;curcxoqijc;4
2199;uezxafstkk;curcxoqijc;1
2200;erkeylwgin;curcxoqijc;1
2201;zjgpfmwnto;curcxoqijc;1
2202;czecfiggeq;lkhbozffqa;1
2203;nyqfoosats;lkhbozffqa;2
2204;agovkkhykg;lkhbozffqa;1
2205;lvvaicwjim;lkhbozffqa;1
2206;nyqfoosats;bbfmrykqxk;2
2207;wuelzzdfya;bbfmrykqxk;1
2208;fqyjyzvwye;bbfmrykqxk;1
2209;nyqfoosats;xwegjtuakd;2
2210;tgesngylnf;xwegjtuakd;1
2211;rcsjrhqmdn;egnaaqfsrg;1
2212;sajmyiszjm;egnaaqfsrg;1
2213;kbxumdfngb;egnaaqfsrg;2
2214;zigbylwrxz;egnaaqfsrg;1
2215;oivxwzzslk;egnaaqfsrg;1
2216;kbxumdfngb;hduxgmlggt;2
2217;eyhhixjhyc;hduxgmlggt;1
2218;sfbousybkk;mgaiwotgyi;1
2219;kbxumdfngb;mgaiwotgyi;3
2220;vohrnfbfhm;mgaiwotgyi;1
2221;tgoltvyoyb;mgaiwotgyi;1
2222;vxjdbsovaz;uxpaylktcl;1
2223;kbxumdfngb;uxpaylktcl;4
2224;smxyyongwb;uxpaylktcl;1
2225;ccnbkzgcts;uxpaylktcl;1
2226;pvgfodishh;njetkubwoh;1
2227;kbxumdfngb;njetkubwoh;3
2228;pozawalpfs;njetkubwoh;1
2229;ogrcgeqvvf;njetkubwoh;1
2230;cmpqkkegkw;smnfhwsavs;1
2231;kbxumdfngb;smnfhwsavs;1
2232;fspinxmgwe;smnfhwsavs;1
2233;juusqvhxuo;smnfhwsavs;2
2234;ckafobysrr;smnfhwsavs;1
2235;przmqhlyee;smnfhwsavs;1
2236;juusqvhxuo;mgaiwotgyi;4
2237;hxqrftqyci;mgaiwotgyi;1
2238;jinxrmejyw;mgaiwotgyi;1
2239;juusqvhxuo;vtsulmzikf;2
2240;buklowbkbo;vtsulmzikf;1
2241;gmpodknczt;vtsulmzikf;1
2242;juusqvhxuo;kkgpzkpsnf;3
2243;upgisnssry;kkgpzkpsnf;1
2244;hliihtlqps;kkgpzkpsnf;1
2245;chygdimsej;kkgpzkpsnf;1
2246;juusqvhxuo;nvlfggozqi;4
2247;vgxjxteucz;nvlfggozqi;1
2248;cpoznnovmy;nvlfggozqi;1
2249;iepuslzmns;nvlfggozqi;1
2250;warslghjnl;mgaiwotgyi;1
2251;vdthffdcsx;mgaiwotgyi;1
2252;odvnwaowhn;mgaiwotgyi;1
2253;odvnwaowhn;ldhueqtwrs;1
2254;rhiqjogddd;hemsvqighy;1
2255;odvnwaowhn;hemsvqighy;3
2256;apuzygqqxe;hemsvqighy;1
2257;lqoxeprwmz;hemsvqighy;1
2258;qpsadrkmdz;hemsvqighy;1
2259;oinfabjpyz;hemsvqighy;2
2260;tpnhnkpobv;hemsvqighy;1
2261;bjjilyajwe;ifuyveearu;1
2262;oinfabjpyz;ifuyveearu;1
2263;ozraseosxy;mgaiwotgyi;1
2264;zwoomzejpl;mgaiwotgyi;1
2265;keuaacoogp;ggjwanaslr;1
2266;zwoomzejpl;ggjwanaslr;4
2267;xggzflwzbg;ggjwanaslr;1
2268;ylbxcbcpyt;ggjwanaslr;1
2269;uaqpqgrcle;cqwpurhqqm;1
2270;zwoomzejpl;cqwpurhqqm;1
2271;moeruukbkq;cqwpurhqqm;1
2272;ankrhvqxir;cqwpurhqqm;3
2273;bdyithlzbt;cqwpurhqqm;1
2274;dwbgzmacjd;cqwpurhqqm;1
2275;immgrjpimn;iaoojwphox;1
2276;ankrhvqxir;iaoojwphox;2
2277;iqeaqdxmef;iaoojwphox;1
2278;qgiqbupefi;iaoojwphox;1
2279;wyqrleccdk;iaoojwphox;2
2280;jzbphuhhsb;iaoojwphox;1
2281;dcuuijrjjv;owfzlpfxuj;1
2282;wyqrleccdk;owfzlpfxuj;5
2283;rksebyhqpe;owfzlpfxuj;1
2284;iufdoqiuxe;owfzlpfxuj;1
2285;ybzbnfteir;owfzlpfxuj;1
2286;fndglrhmcr;wykffknzpm;1
2287;wyqrleccdk;wykffknzpm;1
2288;wvjnafbbge;wykffknzpm;1
2289;wyqrleccdk;jqypitgvqk;2
2290;vaogcmrfln;jqypitgvqk;1
2291;mzlzkmtnvh;wxdqzeuyde;1
2292;wyqrleccdk;wxdqzeuyde;1
2293;bfuwodyjee;wxdqzeuyde;1
2294;zxpvpwidph;wxdqzeuyde;3
2295;ircwifzdzk;wxdqzeuyde;1
2296;ulksrapxsr;wxdqzeuyde;1
2297;ymmvpxkguo;owfzlpfxuj;1
2298;zxpvpwidph;owfzlpfxuj;1
2299;zxpvpwidph;shvjdxdlla;1
2300;pprsaiccto;shvjdxdlla;1
2301;zxpvpwidph;oahzgmlakk;1
2302;rncmaavbko;oahzgmlakk;1
2303;gvcejjxgxj;oahzgmlakk;1
2304;lnvnaaivsr;ejbsrufjpl;1
2305;gvcejjxgxj;ejbsrufjpl;4
2306;hftdutkcui;ejbsrufjpl;1
2307;qqmleiriyq;ejbsrufjpl;1
2308;lhelpvjqgf;ejbsrufjpl;1
2309;wueylhmhmc;ejbsrufjpl;1
2310;gvcejjxgxj;owfzlpfxuj;2
2311;sejzvqmxff;owfzlpfxuj;1
2312;spijhymewg;owfzlpfxuj;1
2313;vzehuqvdla;owfzlpfxuj;2
2314;tbwitjwjba;owfzlpfxuj;1
2315;vzehuqvdla;oljharloyg;2
2316;nrhxrixqaw;oljharloyg;1
2317;pcjsoswial;oljharloyg;1
2318;vzehuqvdla;pezzsimvzo;2
2319;jbpqolbslp;pezzsimvzo;1
2320;iyfksvyiaf;pezzsimvzo;1
2321;vzehuqvdla;hbhivrnvjg;1
2322;psldkuaabv;hbhivrnvjg;1
2323;abpeebjqxf;hbhivrnvjg;1
2324;hnqmhonkcp;owfzlpfxuj;1
2325;abpeebjqxf;owfzlpfxuj;1
2326;vrilmganiz;owfzlpfxuj;1
2327;xpwtajputm;owfzlpfxuj;5
2328;uxacgphihi;owfzlpfxuj;1
2329;kujhgkeqhs;owfzlpfxuj;1
2330;xpwtajputm;lwkbjcwzkv;5
2331;critgnvhbn;lwkbjcwzkv;1
2332;vmpgwacgwb;lwkbjcwzkv;1
2333;iohofptcni;lwkbjcwzkv;1
2334;rtytulkwts;raiodbypec;1
2335;xpwtajputm;raiodbypec;4
2336;vsxubblahn;raiodbypec;1
2337;fkmiptpqwn;raiodbypec;1
2338;exnesnbhwp;raiodbypec;1
2339;mcbyrewyoo;mntkwgrfgt;1
2340;xpwtajputm;mntkwgrfgt;4
2341;nzcnoqidhb;mntkwgrfgt;1
2342;yssobavplk;mntkwgrfgt;1
2343;xqzoabnmgi;mntkwgrfgt;1
2344;pyavbhjnsz;owfzlpfxuj;1
2345;tqowpuwhyd;owfzlpfxuj;1
2346;vpggborkyp;owfzlpfxuj;1
2347;xpwtajputm;bzorptzmch;2
2348;cdckbdxwig;bzorptzmch;1
2349;rwwatqlern;bzorptzmch;1
2350;nxejpxwnfk;bzorptzmch;3
2351;qorpxghwri;bzorptzmch;1
2352;ctlatzqgqs;bzorptzmch;1
2353;vknlodvkbd;bzorptzmch;1
2354;nxejpxwnfk;kssieukgmh;1
2355;mombgbphhh;kssieukgmh;1
2356;nxejpxwnfk;syeoalyqry;3
2357;tvgnbptric;syeoalyqry;1
2358;tltmrfyggr;owfzlpfxuj;1
2359;nxejpxwnfk;owfzlpfxuj;4
2360;abzxqcbljr;owfzlpfxuj;1
2361;jofvqnvgja;owfzlpfxuj;1
2362;vtbfkodiyr;owfzlpfxuj;1
2363;rrzctyyigg;aazvpmjmbe;1
2364;mndhguxhcp;aazvpmjmbe;1
2365;kaurzjokqo;vfvwrnhifo;1
2366;mndhguxhcp;vfvwrnhifo;2
2367;jbwmhvhhkv;vfvwrnhifo;1
2368;wcdwucseba;vfvwrnhifo;1
2369;mndhguxhcp;jyiaqrurla;1
2370;xldhhkktjq;jyiaqrurla;1
2371;argeevjeas;jyiaqrurla;1
2372;eaiywrpoph;jyiaqrurla;1
2373;argeevjeas;owfzlpfxuj;3
2374;argeevjeas;jmuwyhlbej;5
2375;oelnkwgoyw;jmuwyhlbej;1
2376;kanodjgnog;jmuwyhlbej;1
2377;ejrglyseht;jmuwyhlbej;1
2378;myorenkjnm;jmuwyhlbej;1
2379;omnifuhfcx;osfvdivgor;1
2380;argeevjeas;osfvdivgor;1
2381;xfsoakudzp;mghsoodmlb;1
2382;argeevjeas;mghsoodmlb;3
2383;mjjdzqgwub;mghsoodmlb;1
2384;efhepytwmh;mghsoodmlb;1
2385;ddobomehpi;mghsoodmlb;1
2386;wlruhgouer;owfzlpfxuj;1
2387;gzonicmznc;owfzlpfxuj;2
2388;matcqdxbcb;owfzlpfxuj;1
2389;hhtufoxplb;owfzlpfxuj;1
2390;smcoithzck;ohxhpvmalc;2
2391;lmmbqhtsbs;ohxhpvmalc;1
2392;ucpebzahgt;ohxhpvmalc;1
2393;ygexonhunx;ohxhpvmalc;2
2394;aqrowittqf;ohxhpvmalc;1
2395;odfpxcenjz;dnuhcaywvy;1
2396;ygexonhunx;dnuhcaywvy;2
2397;yejxlckpja;dnuhcaywvy;1
2398;squamhthhs;dnuhcaywvy;1
2399;ygexonhunx;ecvdkkjuuh;2
2400;mvdbdqznzz;ecvdkkjuuh;1
2401;ngqzjyypyb;ecvdkkjuuh;1
2402;ygexonhunx;owfzlpfxuj;1
2403;ygexonhunx;ejidotqydo;1
2404;tphpzhdifh;ejidotqydo;1
2405;ygexonhunx;xtedayzfan;4
2406;kmclikhwwe;xtedayzfan;1
2407;gpindpyyzd;xtedayzfan;1
2408;xdkiwsfqlq;xtedayzfan;1
2409;rxektveops;xtedayzfan;1
2410;ndgqesydju;xtedayzfan;1
2411;xzdfwxmflr;nbqsvnulga;1
2412;ndgqesydju;nbqsvnulga;1
2413;piknwuvxti;nbqsvnulga;1
2414;ndgqesydju;owfzlpfxuj;2
2415;vlwzwkjsuy;owfzlpfxuj;1
2416;jzlnwmidmd;knpdmqeoxl;1
2417;ndgqesydju;knpdmqeoxl;2
2418;nvsbxohbqt;knpdmqeoxl;1
2419;ndgqesydju;hqhkxvvrwq;3
2420;rogixxqztt;hqhkxvvrwq;1
2421;bhepdtlgqw;hqhkxvvrwq;1
2422;vhfunklcbc;hqhkxvvrwq;1
2423;ndgqesydju;qpiedcgymu;3
2424;oqqhwoqhan;qpiedcgymu;1
2425;idlphhfuho;qpiedcgymu;1
2426;dhdncvwnyo;qpiedcgymu;1
2427;cairgmvzqz;qpiedcgymu;2
2428;iqayqcmvta;qpiedcgymu;1
2429;fresrjzeys;qpiedcgymu;1
2430;cairgmvzqz;owfzlpfxuj;2
2431;smbuzfdjsw;owfzlpfxuj;1
2432;iyyzsxdipr;owfzlpfxuj;1
2433;aspcmembak;owfzlpfxuj;3
2434;mnuppsskxt;owfzlpfxuj;1
2435;vpreatyuaa;mjcfntytca;1
2436;aspcmembak;mjcfntytca;1
2437;nibdkozmyq;fpmoyenjlx;1
2438;aspcmembak;fpmoyenjlx;1
2439;saxwugufzw;fpmoyenjlx;1
2440;haesmtmiku;fpmoyenjlx;2
2441;pbchhodiwz;fpmoyenjlx;1
2442;tdhnedtmnv;hncuzkelmn;1
2443;haesmtmiku;hncuzkelmn;3
2444;kdhzertgmd;hncuzkelmn;1
2445;fjlkmbaeyt;hncuzkelmn;1
2446;lhqkijdalg;hncuzkelmn;1
2447;rdbsbvnafd;owfzlpfxuj;2
2448;aanuddugid;owfzlpfxuj;1
2449;rdbsbvnafd;anziueztmt;2
2450;kjiyroyypv;anziueztmt;1
2451;hhsnoxapqc;anziueztmt;1
2452;xcxarirlpv;anziueztmt;1
2453;vxvmbgkbrv;anziueztmt;1
2454;uayxspdqzi;ykqfggqxod;3
2455;brfnbzvuoi;ykqfggqxod;1
2456;aykgtyhwdn;ykqfggqxod;1
2457;qzcmmogmae;ykqfggqxod;1
2458;uayxspdqzi;moevkuszhr;2
2459;mnkegrmdxc;moevkuszhr;1
2460;nabphevbxy;moevkuszhr;1
2461;uayxspdqzi;owfzlpfxuj;2
2462;lpwnjfenmm;owfzlpfxuj;1
2463;yavtlmprli;qsiocsiouf;1
2464;yzlfkrfibc;qsiocsiouf;4
2465;esvbnrezqv;qsiocsiouf;1
2466;mihdirhgbe;qsiocsiouf;1
2467;wbblatrwos;qsiocsiouf;1
2468;yzlfkrfibc;xvrbybaoiu;1
2469;isjebricid;xvrbybaoiu;1
2470;susrgvnsgj;xvrbybaoiu;1
2471;zajmjvibbh;xvrbybaoiu;1
2472;ltblvvkhgc;xvrbybaoiu;1
2473;zrulpnvqkh;idfvphwbkf;1
2474;jupuhjlkyw;idfvphwbkf;1
2475;clvpzdaeum;idfvphwbkf;1
2476;jupuhjlkyw;owfzlpfxuj;1
2477;boiasbjlxp;owfzlpfxuj;1
