id;check;xp_amount
1902;8099;62
1903;8109;94
1904;8113;229
1905;8114;14
1906;8116;550
1907;8120;236
1908;8126;202
1909;8128;334
1910;8129;76
1911;8131;142
1912;8141;128
1913;8142;238
1914;8146;376
1915;8147;656
1916;8149;378
1917;8150;36
1918;8152;12
1919;8163;375
1920;8167;194
1921;8169;163
1922;8170;211
1923;8175;841
1924;8185;309
1925;8190;234
1926;8192;122
1927;8197;173
1928;8201;524
1929;8204;105
1930;8207;98
1931;8209;238
1932;8211;182
1933;8213;646
1934;8217;560
1935;8220;36
1936;8226;733
1937;8231;40
1938;8239;183
1939;8240;431
1940;8242;184
1941;8245;309
1942;8248;554
1943;8257;195
1944;8258;234
1945;8260;111
1946;8264;140
1947;8265;161
1948;8268;64
1949;8281;82
1950;8282;51
1951;8283;147
1952;8284;502
1953;8285;241
1954;8287;566
1955;8295;195
1956;8300;200
1957;8305;311
1958;8308;43
1959;8310;45
1960;8313;68
1961;8316;5
1962;8320;180
1963;8322;2
1964;8325;168
1965;8326;222
1966;8327;2
1967;8331;474
1968;8332;42
1969;8335;208
1970;8339;232
1971;8341;453
1972;8344;287
1973;8347;212
1974;8363;19
1975;8365;417
1976;8366;178
1977;8369;123
1978;8372;230
1979;8373;44
1980;8378;670
1981;8387;278
1982;8394;104
1983;8395;70
1984;8398;411
1985;8400;18
1986;8418;297
1987;8421;497
1988;8422;185
1989;8424;219
1990;8429;747
1991;8432;201
1992;8436;18
1993;8441;266
1994;8442;89
1995;8446;28
1996;8449;512
1997;8455;170
1998;8456;120
1999;8459;675
2000;8464;136
2001;8472;340
2002;8473;534
2003;8478;414
2004;8484;297
2005;8494;6
2006;8496;56
2007;8497;104
2008;8503;103
2009;8505;153
2010;8506;11
2011;8515;100
2012;8522;204
2013;8523;122
2014;8524;3
2015;8531;92
2016;8532;825
2017;8533;75
2018;8536;190
2019;8544;124
2020;8556;189
2021;8560;538
2022;8561;318
2023;8563;229
2024;8565;2
2025;8568;395
2026;8570;38
2027;8571;829
2028;8576;355
2029;8577;87
2030;8580;201
2031;8585;577
2032;8587;23
2033;8588;82
2034;8589;40
2035;8596;249
2036;8614;160
2037;8621;168
2038;8630;34
2039;8635;465
2040;8638;80
2041;8639;95
2042;8641;26
2043;8642;298
2044;8646;166
2045;8648;217
2046;8651;98
2047;8653;402
2048;8656;258
2049;8661;257
2050;8663;585
2051;8664;15
2052;8671;337
2053;8673;401
2054;8677;402
2055;8680;773
2056;8681;210
2057;8684;92
2058;8695;98
2059;8696;530
2060;8697;14
2061;8706;567
2062;8708;16
2063;8714;565
2064;8716;409
2065;8718;680
2066;8720;211
2067;8725;62
2068;8728;80
2069;8730;5
2070;8735;25
2071;8737;89
2072;8757;103
2073;8764;254
2074;8766;680
2075;8778;336
2076;8783;178
2077;8785;69
2078;8791;89
2079;8796;623
2080;8800;439
2081;8802;210
2082;8803;236
2083;8804;636
2084;8807;321
2085;8808;5
2086;8812;195
2087;8814;310
2088;8815;364
2089;8818;346
2090;8823;60
2091;8825;258
2092;8826;319
2093;8829;30
2094;8834;358
2095;8836;339
2096;8840;129
2097;8844;134
2098;8850;181
2099;8851;401
2100;8852;44
2101;8857;197
2102;8858;312
2103;8861;8
2104;8864;334
2105;8866;271
2106;8869;150
2107;8871;209
2108;8874;100
2109;8875;181
2110;8880;354
2111;8881;378
2112;8882;439
2113;8888;53
2114;8889;397
2115;8890;393
2116;8891;48
2117;8893;56
2118;8896;259
2119;8897;458
2120;8902;423
2121;8905;107
2122;8907;24
2123;8913;44
2124;8917;354
2125;8929;56
2126;8934;0
2127;8938;86
2128;8941;99
2129;8944;333
2130;8951;2
2131;8954;50
2132;8957;129
2133;8958;245
2134;8964;201
2135;8973;25
2136;8976;651
2137;8986;227
2138;8998;28
2139;9003;192
2140;9005;458
2141;9010;71
2142;9016;175
2143;9024;505
2144;9026;687
2145;9029;300
2146;9031;388
2147;9032;353
2148;9036;125
2149;9042;212
2150;9048;173
2151;9054;124
2152;9058;256
2153;9069;2
2154;9073;382
2155;9081;191
2156;9086;471
2157;9088;197
2158;9101;172
2159;9105;44
2160;9108;332
2161;9110;32
2162;9112;222
2163;9113;260
2164;9119;673
2165;9125;127
2166;9126;197
2167;9131;161
2168;9142;29
2169;9143;18
2170;9153;77
2171;9156;862
2172;9174;10
2173;9175;109
2174;9180;824
2175;9182;358
2176;9183;194
2177;9185;485
2178;9186;108
2179;9192;283
2180;9197;63
2181;9208;233
2182;9211;382
2183;9226;67
2184;9227;275
2185;9229;14
2186;9235;89
2187;9251;10
2188;9253;66
2189;9254;82
2190;9256;420
2191;9265;84
2192;9268;189
2193;9273;7
2194;9288;151
2195;9291;49
2196;9293;516
2197;9294;83
2198;9307;53
2199;9308;94
2200;9312;49
2201;9313;561
2202;9314;412
2203;9315;309
2204;9333;57
2205;9342;122
2206;9352;36
2207;9355;532
2208;9366;275
2209;9367;699
2210;9372;648
2211;9374;299
2212;9378;355
2213;9381;270
2214;9382;619
2215;9383;620
2216;9398;134
2217;9401;289
2218;9413;117
2219;9421;278
2220;9422;381
2221;9425;2
2222;9433;225
2223;9436;152
2224;9441;232
2225;9446;960
2226;9449;177
2227;9452;235
2228;9454;125
2229;9464;147
2230;9467;377
2231;9471;92
2232;9472;461
2233;9473;259
2234;9479;332
2235;9484;222
2236;9489;89
2237;9491;594
2238;9493;36
2239;9501;253
2240;9504;75
2241;9506;50
2242;9516;775
2243;9517;319
2244;9519;190
2245;9521;331
2246;9528;242
2247;9533;629
2248;9539;439
2249;9541;422
2250;9543;106
2251;9546;33
2252;9549;276
2253;9553;173
2254;9559;12
2255;9562;489
2256;9563;247
2257;9565;125
2258;9570;209
2259;9573;613
2260;9574;102
2261;9576;445
2262;9580;782
2263;9583;215
2264;9592;96
2265;9598;520
2266;9599;157
2267;9600;363
2268;9602;248
2269;9605;78
2270;9608;273
2271;9616;218
2272;9617;408
2273;9622;313
2274;9624;117
2275;9625;336
2276;9629;52
2277;9632;344
2278;9634;194
2279;9636;82
2280;9638;277
2281;9646;442
2282;9648;135
2283;9651;80
2284;9652;298
2285;9661;380
2286;9666;270
2287;9668;116
2288;9669;91
2289;9672;605
2290;9678;93
2291;9690;246
2292;9691;66
2293;9693;96
2294;9694;515
2295;9696;320
2296;9702;422
2297;9711;369
2298;9715;298
2299;9717;85
2300;9720;226
2301;9726;323
2302;9730;63
2303;9731;264
2304;9733;491
2305;9738;334
2306;9743;728
2307;9754;476
2308;9755;599
2309;9756;149
2310;9763;835
2311;9765;201
2312;9766;109
2313;9771;210
2314;9772;84
2315;9776;102
2316;9778;196
2317;9781;448
2318;9783;562
2319;9786;0
2320;9790;498
2321;9793;465
2322;9799;488
2323;9800;86
2324;9809;367
2325;9817;184
2326;9822;306
2327;9828;405
2328;9831;8
2329;9832;248
2330;9835;37
2331;9839;152
2332;9844;180
2333;9847;390
2334;9858;601
2335;9863;26
2336;9864;337
2337;9869;97
2338;9872;328
2339;9878;60
2340;9881;103
2341;9882;340
2342;9885;71
2343;9886;17
2344;9888;327
2345;9897;328
2346;9905;338
2347;9907;37
2348;9913;193
2349;9916;607
2350;9920;73
2351;9924;108
2352;9926;90
2353;9927;319
2354;9928;341
2355;9929;478
2356;9930;170
2357;9931;246
2358;9932;203
2359;9941;32
2360;9954;67
2361;9956;61
2362;9960;130
2363;9963;55
2364;9967;280
2365;9968;63
2366;9969;260
2367;9973;147
2368;9978;141
2369;9995;50
2370;9996;12
2371;9999;7
2372;10004;114
2373;10010;214
2374;10014;489
2375;10019;120
2376;10028;191
2377;10034;211
2378;10046;533
2379;10048;269
2380;10054;4
2381;10057;712
2382;10060;391
2383;10064;352
2384;10069;289
2385;10070;310
2386;10072;294
2387;10076;231
2388;10084;357
2389;10087;169
2390;10094;6
2391;10095;317
2392;10096;43
2393;10100;198
2394;10102;351
2395;10110;16
2396;10113;426
2397;10116;135
2398;10118;519
2399;10121;115
2400;10122;568
2401;10128;205
2402;10132;312
2403;10140;18
2404;10152;590
2405;10156;15
2406;10157;247
2407;10162;73
2408;10166;512
2409;10170;94
2410;10172;94
2411;10173;105
2412;10187;162
2413;10192;37
2414;10194;31
2415;10200;584
2416;10206;380
2417;10208;205
2418;10211;64
2419;10218;34
2420;10224;19
2421;10228;715
2422;10230;233
2423;10231;100
2424;10239;58
2425;10244;17
2426;10245;4
2427;10246;83
2428;10247;388
2429;10252;170
2430;10254;218
2431;10256;1
2432;10260;654
2433;10261;156
2434;10266;197
2435;10271;75
2436;10274;187
2437;10277;149
2438;10279;585
2439;10281;114
2440;10283;126
2441;10284;383
2442;10286;39
2443;10291;221
2444;10296;339
2445;10298;435
2446;10301;291
2447;10310;285
2448;10312;716
2449;10318;37
2450;10322;114
